Date,SecurityCode,SecurityName,LTP,52WeekHigh,Prev52WHighPrice,Prev52WHighDate,AllTimeHighPrice,AllTimeHighDate
2026-09-22,543897,SANCODE,747.0,747.0,732.4,21 Sep 2026,747.0,22 Sep 2026
2026-09-22,543358,SANSERA,4598.45,4630.0,4320.0,21 Sep 2026,4630.0,22 Sep 2026
2026-09-22,538992,SAPL,7047.75,7118.75,6858.9,21 Sep 2026,7118.75,22 Sep 2026
2026-09-22,544685,SHADOWFAX,283.25,287.95,274.7,21 Sep 2026,287.95,22 Sep 2026
2026-09-22,544933,SHAKTIPOLY,57.08,61.4,,,61.4,22 Sep 2026
2026-09-22,524336,SHHARICH,309.4,309.4,300.95,10 Sep 2026,309.4,22 Sep 2026
2026-09-22,544607,SHTL,161.42,171.0,150.0,21 Sep 2026,171.0,22 Sep 2026
2026-09-22,543299,SHYAMMETL,1091.65,1119.85,1115.95,31 Aug 2026,1119.85,22 Sep 2026
2026-09-22,532408,SIGMAADV,948.85,953.0,908.05,21 Sep 2026,953.0,22 Sep 2026
2026-09-22,513472,SIMPLEXCAS,139.4,140.1,134.5,21 Sep 2026,623.5,02 Dec 2025
2026-09-22,540269,SKL,12.6,12.6,12.2,21 Sep 2026,19.4,16 Jan 2018
2026-09-22,541799,SMEL,24.36,24.36,23.2,21 Sep 2026,39.3,07 Feb 2023
2026-09-22,505192,SMLMAH,6711.85,6764.0,6652.0,15 Sep 2026,6764.0,22 Sep 2026
2026-09-22,532815,SMSPHARMA,482.95,494.4,482.45,15 Sep 2026,1038.0,07 Dec 2015
2026-09-22,521036,SOURCEIND,60.97,60.97,59.78,21 Sep 2026,60.97,22 Sep 2026
2026-09-22,544386,SPECTRUM,3391.4,3394.25,3289.95,16 Sep 2026,3394.25,22 Sep 2026
2026-09-22,532842,SRHHYPOLTD,602.0,671.0,627.4,21 Sep 2026,950.8,15 Sep 2022
2026-09-22,521178,SRMCL,63.66,64.99,64.8,16 Jul 2026,199.95,07 Aug 2002
2026-09-22,513262,SSWL,364.05,389.35,383.9,11 Sep 2026,1990.0,01 Sep 2021
2026-09-22,526231,STDSFAC,174.58,174.58,166.27,21 Sep 2026,174.58,22 Sep 2026
2026-09-22,544914,STEAMHOUSE,112.21,112.95,107.49,21 Sep 2026,112.95,22 Sep 2026
2026-09-22,513517,STEELCAS,350.7,374.75,373.35,19 Aug 2026,1275.25,30 Jul 2025
2026-09-22,544395,STLNETWORK,47.31,47.31,45.06,21 Sep 2026,47.31,22 Sep 2026
2026-09-22,543373,SVRL,581.0,581.15,565.0,21 Sep 2026,581.15,22 Sep 2026
2026-09-22,543573,SYRMA,1744.2,1803.6,1764.95,18 Sep 2026,1803.6,22 Sep 2026
2026-09-22,539956,TAALTECH,1188.7,1237.4,1159.94,21 Sep 2026,5799.7,21 Sep 2026
2026-09-22,534369,TBZ,664.65,664.65,633.0,21 Sep 2026,664.65,22 Sep 2026
2026-09-22,544864,TECHNOCRAF,458.45,462.65,461.25,15 Sep 2026,462.65,22 Sep 2026
2026-09-22,543413,TEGA,2068.05,2174.0,2148.0,21 Sep 2026,2327.45,07 Nov 2024
2026-09-22,544544,TELGE,252.35,252.35,240.35,21 Sep 2026,252.35,22 Sep 2026
2026-09-22,544175,TGIF,104.65,126.95,111.0,07 Sep 2026,156.8,15 May 2024
2026-09-22,543616,TLL,404.75,421.0,371.0,21 Sep 2026,421.0,22 Sep 2026
2026-09-22,500422,TRANSCHEM,402.85,417.0,408.0,21 Sep 2026,417.0,22 Sep 2026
2026-09-22,508963,TRUSTWAVE,215.78,215.78,205.51,18 Sep 2026,215.78,22 Sep 2026
2026-09-22,531411,TUNITEX,1.59,1.59,1.55,06 Jan 2026,329.4,06 Apr 2011
2026-09-22,544322,UNIMECH,1732.05,1866.75,1705.0,21 Sep 2026,1866.75,22 Sep 2026
2026-09-22,544756,UNITEDPOLY,45.98,46.75,46.54,21 Sep 2026,46.75,22 Sep 2026
2026-09-22,543998,VALIANTLAB,124.51,131.0,130.0,11 Sep 2026,226.95,02 Feb 2024
2026-09-22,544931,VAMAWOVEN,323.95,341.0,,,341.0,22 Sep 2026
2026-09-22,541578,VARROC,866.8,910.45,895.6,01 Sep 2026,1177.45,03 Sep 2018
2026-09-22,505232,VELJAN,2020.0,2050.0,2007.3,21 Sep 2026,4200.0,28 Mar 2024
2026-09-22,544371,VIKRAMAR,134.3,134.3,111.92,21 Sep 2026,148.85,05 May 2025
2026-09-22,530477,VIKRAMTH,386.05,393.05,356.5,15 Sep 2026,393.05,22 Sep 2026
2026-09-22,509038,VOLLF,22.24,22.29,21.25,18 Sep 2026,40.55,14 Sep 2015
2026-09-22,517399,VXLINSTR,4.61,4.99,4.76,21 Sep 2026,424.0,23 Feb 2000
2026-09-22,532144,WELCORP,2734.15,2828.9,2791.1,21 Sep 2026,2828.9,22 Sep 2026
2026-09-22,533252,WELINV,2244.0,2244.0,2231.65,10 Sep 2026,2244.0,22 Sep 2026
2026-09-22,514162,WELSPUNLIV,222.25,224.0,218.15,21 Sep 2026,1007.15,14 Mar 2016
2026-09-22,544838,XTRANET,334.9,358.85,343.5,21 Sep 2026,358.85,22 Sep 2026
2026-09-22,538521,YAANENT,134.4,143.95,136.4,20 Aug 2026,143.95,22 Sep 2026
2026-09-22,544310,YASHHV,1123.65,1158.95,1128.75,21 Sep 2026,1158.95,22 Sep 2026
2026-09-22,544563,ZELIO,939.95,939.95,900.6,26 Aug 2026,939.95,22 Sep 2026
2026-09-23,543083,09MPD,6.05,6.05,5.5,22 Sep 2026,6.05,23 Sep 2026
2026-09-23,543748,AARTIPHARM,940.1,957.0,932.5,11 Aug 2026,971.5,17 Jul 2025
2026-09-23,530745,ACSTECH,76.76,76.76,73.11,22 Sep 2026,76.76,23 Sep 2026
2026-09-23,532172,ADROITINFO,13.63,14.15,12.49,22 Sep 2026,416.0,07 Mar 2000
2026-09-23,526331,ADVMULT,75.9,75.9,72.29,22 Sep 2026,75.9,23 Sep 2026
2026-09-23,506947,ADVPETR-B,650.8,650.8,619.85,22 Sep 2026,650.8,23 Sep 2026
2026-09-23,544743,AEROPLANE,205.55,211.3,210.0,03 Aug 2026,211.3,23 Sep 2026
2026-09-23,544767,AFLTD,104.7,104.7,102.0,22 Sep 2026,104.7,23 Sep 2026
2026-09-23,544497,AHCL,29.74,31.28,29.04,22 Sep 2026,172.0,28 Nov 2025
2026-09-23,544425,AJCJEWEL,343.85,343.85,327.5,22 Sep 2026,343.85,23 Sep 2026
2026-09-23,544222,AKUMS,823.7,839.25,830.85,22 Sep 2026,1174.85,20 Aug 2024
2026-09-23,544037,AMIC,2457.2,2505.0,2492.0,22 Sep 2026,2505.0,23 Sep 2026
2026-09-23,544921,ARCIL,150.5,152.9,141.6,17 Sep 2026,152.9,23 Sep 2026
2026-09-23,544812,ATHARVA,125.16,125.16,119.2,22 Sep 2026,125.16,23 Sep 2026
2026-09-23,530889,AUDROC,20.13,20.13,19.74,22 Sep 2026,30.0,17 Aug 1995
2026-09-23,517230,AURIQUE,29.24,29.24,27.85,22 Sep 2026,140.0,20 Oct 1994
2026-09-23,522005,AUSTENG,164.4,178.8,176.4,15 Jul 2026,267.8,07 Feb 2024
2026-09-23,519105,AVTNPL,96.94,101.8,99.99,22 Sep 2026,490.1,01 Aug 2011
2026-09-23,532989,BAFNAPH,342.2,342.2,335.5,22 Sep 2026,342.2,23 Sep 2026
2026-09-23,517246,BCCFUBA,276.15,279.8,273.8,15 Sep 2026,279.8,23 Sep 2026
2026-09-23,544468,BDI,119.95,122.8,114.5,19 Aug 2026,128.5,25 Aug 2025
2026-09-23,544369,BEEZAASAN,644.0,644.0,631.4,22 Sep 2026,644.0,23 Sep 2026
2026-09-23,544484,BLUESTONE,853.1,970.55,948.05,22 Sep 2026,970.55,23 Sep 2026
2026-09-23,541096,BPLPHARMA,1536.95,1646.95,1646.4,10 Sep 2026,1870.0,02 Dec 2024
2026-09-23,544000,CCAL,46.76,46.76,45.85,22 Sep 2026,46.76,23 Sep 2026
2026-09-23,517544,CENTUM,4831.3,5000.0,4897.95,22 Sep 2026,5000.0,23 Sep 2026
2026-09-23,540310,CFL,96.2,96.2,95.31,22 Sep 2026,96.2,23 Sep 2026
2026-09-23,542678,CHCL,21.75,21.75,20.72,22 Sep 2026,62.9,23 May 2019
2026-09-23,532941,CORDSCABLE,369.6,405.8,395.05,09 Sep 2026,405.8,23 Sep 2026
2026-09-23,512093,CRANESSOFT,6.67,6.67,6.36,22 Sep 2026,1138.5,02 Sep 2005
2026-09-23,526269,CRSTCHM,174.8,185.0,164.8,16 Sep 2026,350.0,03 Oct 2024
2026-09-23,544440,CRYOGENIC,402.1,418.3,410.3,22 Sep 2026,418.3,23 Sep 2026
2026-09-23,544900,CSML,185.2,190.0,188.95,22 Sep 2026,190.0,23 Sep 2026
2026-09-23,544667,DACHEPALLI,99.75,100.0,98.05,22 Sep 2026,100.0,23 Sep 2026
2026-09-23,519413,DATIWARE,65.45,72.33,68.89,22 Sep 2026,72.33,23 Sep 2026
2026-09-23,544201,DFPL,27.14,27.14,25.85,22 Sep 2026,144.2,05 Jul 2024
2026-09-23,500089,DICIND,663.1,670.0,667.2,22 Sep 2026,833.0,21 Oct 2024
2026-09-23,522261,DOLPHIN,721.95,749.0,743.65,22 Sep 2026,1826.85,24 Jan 2024
2026-09-23,531471,DUKEOFS,79.26,79.26,77.71,22 Sep 2026,171.0,10 Apr 2017
2026-09-23,505242,DYNAMATECH,12552.55,12960.0,12870.0,08 May 2026,12960.0,23 Sep 2026
2026-09-23,544455,EBGNG,715.2,728.85,712.65,15 Sep 2026,728.85,23 Sep 2026
