SecurityCode,SecurityName,TotalAppearances,FirstSeenDate,LastSeenDate,DaysSinceFirstSeen,NewToday,LatestLTP,Latest52WHigh
544425,AJCJEWEL,1,2026-09-22,2026-09-22,0,Yes,327.5,327.5
544440,CRYOGENIC,1,2026-09-22,2026-09-22,0,Yes,410.3,410.3
544484,BLUESTONE,1,2026-09-22,2026-09-22,0,Yes,932.8,948.05
544497,AHCL,1,2026-09-22,2026-09-22,0,Yes,29.04,29.04
544529,APPL,1,2026-09-22,2026-09-22,0,Yes,353.25,365.5
544544,TELGE,1,2026-09-22,2026-09-22,0,Yes,252.35,252.35
544563,ZELIO,1,2026-09-22,2026-09-22,0,Yes,939.95,939.95
544567,INFINITY,1,2026-09-22,2026-09-22,0,Yes,550.0,550.0
544607,SHTL,1,2026-09-22,2026-09-22,0,Yes,161.42,171.0
544667,DACHEPALLI,1,2026-09-22,2026-09-22,0,Yes,97.88,98.05
544685,SHADOWFAX,1,2026-09-22,2026-09-22,0,Yes,283.25,287.95
544731,RSL,1,2026-09-22,2026-09-22,0,Yes,187.6,201.5
544735,NOVUS,1,2026-09-22,2026-09-22,0,Yes,213.05,228.0
544741,HIGHNESS,1,2026-09-22,2026-09-22,0,Yes,223.85,223.85
544755,RECODE,1,2026-09-22,2026-09-22,0,Yes,396.9,396.9
544756,UNITEDPOLY,1,2026-09-22,2026-09-22,0,Yes,45.98,46.75
544767,AFLTD,1,2026-09-22,2026-09-22,0,Yes,102.0,102.0
544803,RAMBHAJO,1,2026-09-22,2026-09-22,0,Yes,283.9,308.25
544812,ATHARVA,1,2026-09-22,2026-09-22,0,Yes,119.2,119.2
544826,MILLWORKS,1,2026-09-22,2026-09-22,0,Yes,1286.45,1294.0
544837,INDOMIM,1,2026-09-22,2026-09-22,0,Yes,1231.7,1248.0
544838,XTRANET,1,2026-09-22,2026-09-22,0,Yes,334.9,358.85
544844,PPEL,1,2026-09-22,2026-09-22,0,Yes,748.9,753.0
544864,TECHNOCRAF,1,2026-09-22,2026-09-22,0,Yes,458.45,462.65
544900,CSML,1,2026-09-22,2026-09-22,0,Yes,181.4,188.95
544911,KANOHAR,1,2026-09-22,2026-09-22,0,Yes,870.65,905.5
544913,GLASSWALL,1,2026-09-22,2026-09-22,0,Yes,309.35,318.0
544914,STEAMHOUSE,1,2026-09-22,2026-09-22,0,Yes,112.21,112.95
544917,KARAMTARA,1,2026-09-22,2026-09-22,0,Yes,364.75,381.2
544931,VAMAWOVEN,1,2026-09-22,2026-09-22,0,Yes,323.95,341.0
544932,QAL,1,2026-09-22,2026-09-22,0,Yes,63.65,66.99
544933,SHAKTIPOLY,1,2026-09-22,2026-09-22,0,Yes,57.08,61.4
590139,LIQUID1,1,2026-09-22,2026-09-22,0,Yes,1123.66,1123.68
590159,GROWWLIQID,1,2026-09-22,2026-09-22,0,Yes,110.85,110.85
